"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Ago 2001","1.133,58","1.211,23","1.226,27","1.124,87","-","-6,41%"
"Jul 2001","1.211,23","1.224,42","1.239,78","1.165,54","-","-1,07%"
"Jun 2001","1.224,38","1.255,82","1.286,62","1.203,03","-","-2,50%"
"May 2001","1.255,82","1.249,46","1.315,93","1.232,00","-","0,51%"
"Abr 2001","1.249,46","1.160,33","1.269,30","1.091,99","-","7,68%"
"Mar 2001","1.160,33","1.239,94","1.267,42","1.081,19","-","-6,42%"
"Feb 2001","1.239,94","1.366,01","1.376,38","1.215,44","-","-9,23%"
"Ene 2001","1.366,01","1.320,28","1.383,37","1.274,62","-","3,46%"
"Dic 2000","1.320,28","1.314,95","1.389,05","1.254,07","-","0,41%"
"Nov 2000","1.314,95","1.429,40","1.438,46","1.294,90","-","-8,01%"
"Oct 2000","1.429,40","1.436,52","1.454,82","1.305,79","-","-0,49%"
"Sep 2000","1.436,51","1.517,68","1.530,09","1.419,44","-","-5,35%"
"Ago 2000","1.517,68","1.430,83","1.525,21","1.425,43","-","6,07%"
"Jul 2000","1.430,83","1.454,60","1.517,32","1.413,89","-","-1,63%"
"Jun 2000","1.454,60","1.420,60","1.488,93","1.420,60","-","2,39%"
"May 2000","1.420,60","1.452,43","1.481,51","1.361,09","-","-2,19%"
"Abr 2000","1.452,43","1.498,58","1.527,19","1.339,40","-","-3,08%"
"Mar 2000","1.498,58","1.366,42","1.552,87","1.346,62","-","9,67%"
"Feb 2000","1.366,42","1.394,46","1.444,55","1.325,07","-","-2,01%"
"Ene 2000","1.394,46","1.469,25","1.478,00","1.350,14","-","-5,09%"
